job_id,company,source,title,location,url,date_found,match_score,title_score,description_score,match_reasons
/job/Defiance-Ohio-United-States-of-America/Entry-Level-Manufacturing-Controls-Electrical-Engineer_JR-202620159,General Motors,workday,Entry-Level Manufacturing Controls/Electrical Engineer,6 Locations,https://generalmotors.wd5.myworkdayjobs.com/en-US/Careers_GM/job/Defiance-Ohio-United-States-of-America/Entry-Level-Manufacturing-Controls-Electrical-Engineer_JR-202620159,2026-09-11,38,30,8,title: entry-level (+10); title: electrical (+20); description: electrical (+8)
R14483,National Renewable Energy Laboratory,workday,"Graduate (Year-Round) Intern – Modeling, Real-Time Simulation and Hardware in the Loop (HIL) Testing of Distribution Systems","Golden, CO",https://nrel.wd5.myworkdayjobs.com/en-US/NLR/job/Golden-CO/Graduate--Year-Round--Intern---Modeling--Real-Time-Simulation-and-Hardware-in-the-Loop--HIL--Testing-of-Distribution-Systems_R14483,2026-09-12,55,25,30,title: intern (+10); title: hardware (+15); description: power systems (+12); description: distribution (+10); description: electrical (+8); description: hardware (+8); description: relay (+12); description score capped at 30
R5052674-2,GE Vernova,workday,GE Vernova - Schenectady Manufacturing Internship - Summer 2027,Schenectady,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Schenectady/GE-Vernova---Schenectady-Manufacturing-Internship---Summer-2027_R5052674-2,2026-09-14,95,47,47,"AI: This is an internship specifically targeting undergraduate or graduate engineering students, including Electrical Engineering, within the power and energy sector."
R5052776-2,GE Vernova,workday,GE Vernova Gas Power Engineering Internship - Spring 2027,3 Locations,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Greenville/GE-Vernova-Gas-Power-Engineering-Internship---Spring-2027_R5052776-2,2026-09-14,100,50,50,"AI: This is an internship role specifically targeting Electrical Engineering students for power generation systems, which is a perfect match."
R5052774-2,GE Vernova,workday,GE Vernova Gas Power Engineering - Fall 2027 Intern,3 Locations,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Greenville/GE-Vernova-Gas-Power-Engineering---Fall-2027-Intern_R5052774-2,2026-09-14,95,47,47,"AI: This is an explicit engineering internship position at GE Vernova focusing on power generation, gas turbines, and generators, explicitly open to Electrical Engineering majors."
R5052772-2,GE Vernova,workday,Nuclear  – Engineering Interns,Markham,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Markham/Nuclear----Engineering-Interns_R5052772-2,2026-09-14,95,47,47,"AI: This is a direct internship opportunity in the power generation and nuclear energy sector, which is highly relevant for electrical and power systems engineering students."
R5051434-2,GE Vernova,workday,GE Vernova Gas Power Engineering Internship - Summer 2027,3 Locations,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Greenville/GE-Vernova-Gas-Power-Engineering-Internship---Summer-2027_R5051434-2,2026-09-14,95,47,47,"AI: This is an explicit engineering internship role at GE Vernova focusing on power generation, gas turbines, and generators, perfectly suited for an electrical engineering student or new grad."
R5051923-2,GE Vernova,workday,GE Vernova Gas Power Engineering Internship - Summer 2027-1,Longmont,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Longmont/GE-Vernova-Gas-Power-Engineering-Internship---Summer-2027-1_R5051923-2,2026-09-14,100,50,50,"AI: This is a direct internship opportunity for engineering students, specifically listing Electrical Engineering as an eligible major within the power generation sector."
R5049950-2,GE Vernova,workday,GE Vernova Engineering Intern (Summer 2027),Clearwater,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Clearwater/GE-Vernova-Engineering-Intern--Summer-2027-_R5049950-2,2026-09-14,95,47,47,AI: This GE Vernova Grid Solutions engineering internship is ideal for electrical and power engineering students.
R5051803-2,GE Vernova,workday,GE Vernova Engineering Internship - 2027- Summer/Fall,Rochester,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Rochester/GE-Vernova-Engineering-Internship---2027--Summer-Fall_R5051803-2,2026-09-14,95,47,47,"AI: This is a targeted electrical and communications engineering internship focused on critical infrastructure and grid modernization, perfect for a relevant student."
